what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1249583702233
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1249583702233
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1249583702233
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1249583702234
started,bundle,org.tigris.subversion.clientadapter,1.5.3,"org.tigris.subversion.clientadapter",1249583702234
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1249583702234
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1249583702234
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1249583702234
os,sysinfo,,,"macosx",1249583702237
arch,sysinfo,,,"x86",1249583702237
ws,sysinfo,,,"cocoa",1249583702237
locale,sysinfo,,,"en_US",1249583702237
processors,sysinfo,,,"2",1249583702237
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1249583702237
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1249583702237
java.specification.name,sysinfo,,,"Java Platform API Specification",1249583702237
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1249583702237
java.specification.version,sysinfo,,,"1.5",1249583702237
java.vendor,sysinfo,,,"Apple Inc.",1249583702237
java.version,sysinfo,,,"1.5.0_19",1249583702237
java.vm.info,sysinfo,,,"mixed mode",1249583702237
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1249583702237
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1249583702237
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1249583702237
java.vm.specification.version,sysinfo,,,"1.0",1249583702237
