what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Apple Inc.",1249583702237
java.vm.version,sysinfo,,,"1.5.0_19-137",1249583702237
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1249583703295
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249584107780
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249584109591
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1249584110455
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249584113541
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249584117069
